notice_date,event_number,reason,company,address,county,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
12/24/2019,2019-0198,Plant Layoff,"Timeless Décor, LLC (LCO Destiny DBA Timeless Frames)","22419 Fisher Road Watertown, NY 13601",Jefferson County,(315) 782-5759,A supplier of Picture Frames,45,81,The,Economic,The employees are not represented by a union.,Plant layoff
12/23/2019,2019-0102,Plant Closing,Barneys New York,"575 5th Avenue New York, NY 10017",New York County,(212) 450-8606,Retail,165,165,Employment,Economic,New York New Jersey Regional Joint Board Workers United A/W SEIU,Plant Closing
12/20/2019,2019-0066,Plant Closing,"General Parts Distribution, LLC d/b/a Carquest Auto Parts","215 Business Park Drive Armonk, NY 10504",Westchester County,(860) 375-1514,Auto parts distribution,80,80,Of,Economic,Teamsters Local 202,Plant Closing
12/20/2019,2019-0092,Plant Closing,"Somos Healthcare Providers, Inc.","519 Eighth Avenue, 14th Floor New York, NY 10118",New York County,(516) 642-4068,Community care and advocate community provider,130,130,Separations,New York State contract expired,The employees are not represented by a union.,Plant Closing
12/20/2019,2019-0197,Plant Unit Closing,"Regeneron Healthcare Solutions, Inc., a wholly owned subsidiary of Regeneron Pharmaceuticals, Inc.","1 Rockwood Rd. Sleepy Hollow, NY 10591",Westchester County,(914) 847-7128,Biotechnology company,15,0,2/18/2020,Termination of all field and supporting staff associated with one of their products.,The employees are not represented by a union.,Plant Unit Closing
12/12/2019,2019-0199,Plant Closing,"Spacious Technologies LLC subsidiary of WeWork Companies, LLC","134 Fifth Avenue New York, NY 10011",New York County,(646) 809-4474,Commercial real estate company,48,48,March,Economic,The employees are not represented by a union.,Plant Closing
12/12/2019),2019-0147,Plant Layoff,"WeWork Companies, Inc.","115 W 18th St. New York, NY 10011",New York County,(646) 809-4474,Commercial real estate company,423,922,Separations,Economic,The employees are not represented by a union.,Plant Layoff
12/17/2019,2019-0196,Plant Layoff,Eastman Kodak Company (Eastman Business Park),"1669 Lake Avenue Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,3,0,March,Economic,The employees are not represented by a union.,Plant Layoff
12/10/2019,2019-0195,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street Rochester, NY 14650",Monroe County,(585) 724-6615,Photographic equipment and Supplies,1,178,March,Economic,The employee is not represented by a union.,Plant Layoff
12/12/2019,2019-0194,Plant Closing,"Eyeview, Inc.","33 East 33rd Street, 6th Floor New York, NY 10016",New York County,(646) 714-1855,Video marketing technology company,61,61,12/31/2019,Economic,The employees are not represented by a union.,Plant Closing
12/12/2019,2019-0189,Plant Layoff,Evolent Health LLC,"519 8th Ave, Suite 14 New York, NY 10018",New York County,(571) 386-1990,a company providing an integrated value-based care platform for the nations leading providers and payers,49,0,March,Loss of contract with SOMOS Healthcare Providers. Inc.,The employees are not represented by a union.,Plant Layoff
12/10/2019,2019-0190,Plant Layoff,"HCL America, Inc.","800 Phillips Road Webster, NY 14580",Monroe County,(908) 731-2256,Leading global IT services company,16,217,March,Economic,The employees are not represented by a union.,Plant Layoff
